Frame,Time_Sec,Center_X,Center_Y,Angle_rad
584,2.9200,777.4411,316.2882,0.0836
585,2.9250,785.2483,314.7209,0.0873
586,2.9300,786.7578,314.0177,0.0881
587,2.9350,780.8220,317.7233,0.0852
588,2.9400,771.6206,318.7249,0.0808
589,2.9450,753.5040,325.3292,0.0722
590,2.9500,730.6270,330.4527,0.0613
591,2.9550,705.3171,334.4649,0.0492
592,2.9600,669.7499,342.7735,0.0322
593,2.9650,630.2639,349.3408,0.0134
594,2.9700,592.7779,354.0880,-0.0044
595,2.9750,545.8208,359.4590,-0.0268
596,2.9800,495.6376,362.8536,-0.0507
597,2.9850,451.4313,363.7677,-0.0718
598,2.9900,400.1581,364.3295,-0.0963
599,2.9950,349.8253,362.5366,-0.1204
600,3.0000,305.5341,360.5976,-0.1417
601,3.0050,251.5573,354.8655,-0.1677
602,3.0100,208.5696,349.5170,-0.1885
603,3.0150,174.2686,343.8265,-0.2052
604,3.0200,140.3152,337.9196,-0.2217
605,3.0250,112.1630,331.5106,-0.2355
606,3.0300,92.3519,327.8370,-0.2452
607,3.0350,75.7181,323.3096,-0.2533
